Brand;Model;Case Material;Strap Material;Dial Color;Crystal Material;Complications;Movement Type;Water Resistance;Case Diameter (mm);Case Thickness (mm);Power Reserve;Price (USD);Band Width (mm)
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;41;145;72;16000;20
Zenith;El Primero;Stainless Steel;Leather;White;Sapphire;Chronograph;5;100;38;1275;50;5500;20
Rolex;Datejust;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;41;118;70;8200;20
Omega;Speedmaster Moonwatch;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph Tachymeter;3;50;42;132;48;5500;20
Cartier;Ballon Bleu;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;30;33;996;42;6500;18
Breitling;Superocean;Stainless Steel;Rubber;Blue;Sapphire;Date;5;500;42;1332;38;3600;20
Patek Philippe;Calatrava;Rose Gold;Leather;White;Sapphire;None;3;30;36;745;44;18000;18
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Chronograph Date;5;100;42;145;72;8900;24
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date Rotating Bezel;5;300;45;154;120;13500;23
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;26000;20
Zenith;El Primero;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;100;42;1275;50;6500;22
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;415;123;60;7800;22
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;Silver;Sapphire;None;5;50;38;758;70;4500;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;29800;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;98;60;23100;20
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;41;123;60;7950;22
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;415;11;40;18900;22
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;155;120;12800;23
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;17900;26
Breguet;Classique;18k Rose Gold;Leather;Silver;Sapphire;None;3;30;39;865;40;15200;20
Ulysse Nardin;Marine;Stainless Steel;Leather;Blue;Sapphire;Date;5;100;422;142;60;8400;22
Zenith;Defy;Titanium;Rubber;Blue;Sapphire;Chronograph;5;100;41;1075;50;9500;22
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Silver;Sapphire;None;5;100;42;1088;46;9200;22
Panerai;Luminor;Stainless Steel;Leather;Black;Sapphire;None;3;100;44;1305;56;7500;24
Seiko;Prospex;Stainless Steel;Silicone;Blue;Hardlex;Date;5;200;43;132;50;1300;22
Tissot;Le Locle;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;393;975;38;650;20
Longines;Master Collection;Stainless Steel;Leather;Black;Sapphire;Date;5;30;40;1025;64;2500;20
Hamilton;Jazzmaster;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;1115;80;1150;20
Montblanc;Heritage;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;985;42;2750;20
Rado;True Thinline;High-Tech Ceramic;Leather;Black;Sapphire;None;1;30;39;5;45;1600;22
Frederique Constant;Classics;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;105;38;1400;20
Zenith;Elite;Stainless Steel;Leather;White;Sapphire;Date;5;50;405;815;50;5500;22
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;38;1088;46;8700;25
Ulysse Nardin;Marine Torpilleur;Stainless Steel;Leather;Blue;Sapphire;Date;5;50;42;1115;60;7900;20
Sinn;U50;German Submarine Steel;Silicone;Black;Sapphire;None;5;500;45;147;38;3350;22
Rolex;Datejust;Stainless Steel;Jubilee;Black;Sapphire;Date;5;100;36;125;70;8000;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph;5;50;42;135;60;6500;20
Cartier;Ballon Bleu;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;33;996;42;4500;16
Tag Heuer;Aquaracer;Stainless Steel;Stainless Steel;Blue;Sapphire;None;1;300;43;108;88;1800;20
Breitling;Superocean;Stainless Steel;Rubber;Blue;Sapphire;Date;5;2000;42;1332;38;3600;20
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;Date;5;30;41;123;60;8900;22
Panerai;Luminor Marina;Titanium;Leather;Black;Sapphire;None;3;300;44;1305;56;5700;24
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;34000;22
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;Silver;Sapphire;None;5;50;39;758;43;6800;20
Bell & Ross;BR V2-92;Stainless Steel;Rubber;Black;Sapphire;Date;5;100;41;97;40;2500;22
Montblanc;1858;Bronze;Leather;Black;Sapphire;None;5;100;44;128;42;5300;22
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;34000;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;98;60;22000;20
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;41;11;60;17500;21
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;41;131;60;8500;22
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;445;145;72;15000;22
Zenith;El Primero;Stainless Steel;Leather;White;Sapphire;Chronograph;5;100;38;124;50;6000;19
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;50;42;1267;48;5000;20
Panerai;Luminor;Titanium;Rubber;Black;Sapphire;None;5;300;44;1305;72;8500;24
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;1088;54;9000;22
Blancpain;Fifty Fathoms;Stainless Steel;NATO Strap;Black;Sapphire;None;5;300;45;155;120;12500;23
Bulgari;Octo Finissimo;Titanium;Leather;Black;Sapphire;None;5;30;40;55;55;10000;21
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;Date;5;200;41;127;70;3800;22
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;Date;5;300;44;1305;72;8900;22
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;16800;25
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;409;123;44;6900;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;24500;20
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Silver;Sapphire;Date;5;150;415;11;40;19500;21
Breguet;Classique;18k White Gold;Leather;Silver;Sapphire;Date;5;30;39;865;55;24500;20
Piaget;Altiplano;18k Rose Gold;Leather;White;Sapphire;None;3;30;38;6;43;20800;20
Blancpain;Fifty Fathoms;Stainless Steel;Fabric;Black;Sapphire;Date;5;300;45;155;120;13000;23
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;41;1088;46;9700;22
Zenith;Chronomaster;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;50;42;1405;50;7400;22
Breitling;Superocean Heritage II;Stainless Steel;Rubber;Black;Sapphire;Date;5;200;44;142;70;4300;22
Cartier;Santos de Cartier;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;100;398;908;42;6500;20
Omega;Speedmaster;Stainless Steel;Leather;Black;Hesalite;Chronograph;3;50;42;137;48;5500;20
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;GMT Date;5;100;40;124;70;9100;20
Jaeger-LeCoultre;Master Control;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;88;70;7500;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;20900;20
IWC;Pilot's Watch Mark XVIII;Stainless Steel;Leather;Black;Sapphire;Date;5;60;40;108;42;4200;20
Patek Philippe;Calatrava;18k White Gold;Leather;Silver;Sapphire;Date;5;30;39;86;48;22000;20
Tag Heuer;Aquaracer;Stainless Steel;Stainless Steel;Blue;Sapphire;None;1;300;32;95;70;1700;15
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;Date;5;200;41;127;70;3600;22
Rolex;Datejust;Stainless Steel;Jubilee Bracelet;Silver;Sapphire;Date;5;100;36;125;70;8900;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph;5;50;42;135;60;6800;20
Tag Heuer;Aquaracer;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;1;300;43;108;34;2600;21
Breitling;Superocean Heritage;Stainless Steel;Leather;Black;Sapphire;Date;5;200;42;1435;38;4400;20
Cartier;Ballon Bleu;18k Rose Gold;Leather;Silver;Sapphire;Date;5;30;33;996;42;13000;18
Jaeger-LeCoultre;Master Control;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;39;85;70;7500;20
Tudor;Black Bay GMT;Stainless Steel;Stainless Steel;Black;Sapphire;GMT;5;200;41;145;70;4500;22
Zenith;El Primero;Stainless Steel;Leather;White;Sapphire;Chronograph;5;100;38;1245;50;6900;19
Longines;HydroConquest;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;300;41;1265;64;1800;20
Oris;Divers Sixty-Five;Stainless Steel;Leather;Blue;Sapphire;Date;5;100;40;129;38;1500;20
Hamilton;Khaki Field;Stainless Steel;NATO Strap;Black;Sapphire;None;5;100;38;97;80;595;20
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;Date;5;300;42;132;72;7500;22
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date;5;60;41;153;72;5400;22
Patek Philippe;Calatrava;White Gold;Leather;White;Sapphire;None;3;30;37;77;44;25000;20
Hublot;Big Bang;Carbon Fiber;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;15000;25
Zenith;Chronomaster;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;50;38;126;50;7500;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;25000;20
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;11;40;18000;22
Breguet;Classique;White Gold;Leather;Silver;Sapphire;None;5;30;39;865;55;20000;21
Ulysse Nardin;Marine;Stainless Steel;Rubber;Blue;Sapphire;Date;5;100;42;128;60;8500;22
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;None;5;300;45;155;120;10500;23
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;42;1088;54;9000;22
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;408;83;55;51000;21
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;22000;20
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;60;462;15;68;7500;20
Blancpain;Fifty Fathoms;Titanium;Fabric;Black;Sapphire;Date;5;300;45;154;120;14500;23
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;150;41;11;60;21500;22
Zenith;El Primero;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;100;42;1275;50;7500;20
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;15000;22
Breguet;Classique;18k Rose Gold;Leather;Silver;Sapphire;None;5;30;39;102;40;18000;22
Chopard;Happy Sport;Stainless Steel;Leather;White;Sapphire;None;1;30;30;105;78;5000;17
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;41;1088;54;11500;22
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;Date;5;300;44;1565;72;8000;24
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;None;5;200;41;1475;70;3800;22
Panerai;Luminor;Stainless Steel;Leather;Black;Sapphire;None;3;100;44;1305;56;6400;24
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;41;123;60;8900;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;20400;20
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;41;11;60;22000;21
